idx,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45
A5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,0.11806348481388444,0.1760237780713342,0.11455847255369929,0.09547908232118758,0.05826877736611654,0.06949702541914549,0.03697996918335902,0.05627828054298643,0.007470288624787776,0.05731394354148845,0.05077358901721508,0.023231256599788808,0.06901448452144278,0.08947537817830704,0.05075187969924812,0.07630116220313289,0.1270463454000461,0.01069379238393323,0.10283687943262411,0.14888572783309625,0.0624835914938304,0.1617278797996661,0.05407180385288967,0.1029517638588913,0.018972332015810278,0.13421052631578947,0.049653927174240144,0.11394072447859495,0.09968490403895731,0.014066496163682864,0.1239799947354567,0.028701891715590344,0.11033333333333334,0.10835913312693499,0.06368197607101506,0.10515463917525773,0.11845972957084068,0.07758620689655173,0.12081473214285714,0.09614851759490163,0.14878892733564014,0.10664556962025316,0.1652673442333186,0.0446888965280165,0.09454022988505748,0.02502923976608187
C5,0.17370242214532872,0.16020286396181385,0.19858156028368795,0.11544768776648082,0.07705026455026455,0.11915015790984783,0.03745743473325766,0.08567335243553009,0.019493844049247606,0.09858356940509914,0.0947533281127643,0.03163786809442687,0.14739454094292803,0.150253807106599,0.0688348594884749,0.12319726228306038,0.19734771858844685,0.02689365901801135,0.15958498023715414,0.2436127297176154,0.11360702297960237,0.24456099456099456,0.08304093567251462,0.1982256020278834,0.046549612086565946,0.20637656182679878,0.0944206008583691,0.18922852983988356,0.18524545701112016,0.04198567547542603,0.18098859315589352,0.05872003518803607,0.18990794408455505,0.2012314581584103,0.09738537324744222,0.19668183034519668,0.18801243992083685,0.11220285261489699,0.2172577492320581,0.1264649768329245,0.20850622406639005,0.19285254346426273,0.22637879435656263,0.08476253298153034,0.146046755975834,0.06934125804853888
D5,0.07519905632556768,0.072522159548751,0.06204222317966394,0.09251471825063078,0.03910614525139665,0.04364392102528576,0.024022609514837492,0.028349645629429633,0.00646551724137931,0.03798882681564246,0.030524393425515262,0.010053619302949061,0.05348169418521177,0.06341673856773081,0.02297970126388357,0.04375,0.07435376125471972,0.005523066926575698,0.05835278426142047,0.11862917398945519,0.034660260809883325,0.10526315789473684,0.028309979982842435,0.06941715782580223,0.013432835820895522,0.08913813459268005,0.03097667638483965,0.06880482456140351,0.06031195840554593,0.009762050030506406,0.06578094620868438,0.016147635524798153,0.06637931034482758,0.07173447537473233,0.03740530303030303,0.07258320126782884,0.07994186046511628,0.04484304932735426,0.07797537619699042,0.04931972789115646,0.08417935702199661,0.06019202363367799,0.11349206349206349,0.0406570841889117,0.05557547508067408,0.018441403926234383
E5,0.08694353152076487,0.07796471070988921,0.07692307692307693,0.03779786359901397,0.17901498929336188,0.07695167286245354,0.04894384337970119,0.028708133971291867,0.01506276150627615,0.036598890942698706,0.032800216860937925,0.02191304347826087,0.058888888888888886,0.0771551724137931,0.03219624377155998,0.05728643216080402,0.07377834557649314,0.006188925081433224,0.06857942617214835,0.1059322033898305,0.039098274040154986,0.09574468085106383,0.03341148886283705,0.0652317880794702,0.014727540500736377,0.08791866028708134,0.03336045565500407,0.08013205282112845,0.06535189481825213,0.0052648897663705166,0.08594319009468318,0.02046617396247868,0.06616003576218149,0.08356218124754806,0.03490566037735849,0.0630145661811273,0.08552373479795998,0.0438871473354232,0.08844765342960288,0.04112017015242822,0.09086879432624113,0.07653490328006729,0.12170675830469645,0.030419880034275922,0.06486880466472303,0.013399813025864755
F5,0.14654161781946073,0.09390547263681592,0.12049770792403405,0.06775921840529467,0.0828308473500476,0.20928915321438685,0.055445544554455446,0.06642066420664207,0.02074415541652947,0.07114170969592656,0.07818067491092014,0.024748836069590788,0.10886075949367088,0.11255411255411256,0.054231974921630094,0.09046265184802274,0.1421532397142153,0.0155818044734858,0.11771087605098997,0.21121581245690646,0.09642470205850487,0.20411663807890223,0.07122814590977768,0.1583531274742676,0.03693295865114412,0.14750593824228028,0.0800438596491228,0.15617822691777675,0.12939808083745274,0.027158595951831923,0.14838709677419354,0.04146596858638744,0.13307240704500978,0.1452497834247762,0.06955871353777113,0.14417453891138102,0.13407318536292742,0.1023447401774398,0.18621456364647027,0.09895547003848268,0.15676401477005705,0.15,0.1970770593445527,0.06454953400069037,0.1236636810170471,0.04672447013487476
G5,0.05065082059988681,0.04034896401308615,0.05380972879896685,0.03943908851884312,0.0539401601348504,0.03726924416579589,0.09625935162094763,0.0236331569664903,0.008261049153242462,0.029723991507430998,0.0258732212160414,0.01282051282051282,0.04103671706263499,0.04042647712127943,0.01978277734678045,0.032525721871888486,0.05288035450516987,0.008681672025723473,0.03553835327234342,0.06738715829624921,0.024500322372662798,0.061194468961459254,0.022535211267605635,0.03220663265306122,0.013812154696132596,0.047115384615384615,0.023362696284948296,0.05739586749754018,0.046875,0.002506265664160401,0.04493526275704494,0.014950166112956811,0.03963666391412056,0.04993160054719562,0.015384615384615385,0.05287713841368585,0.06524064171122995,0.02068126520681265,0.061866125760649086,0.02611054594777891,0.06810344827586207,0.05992063492063492,0.07962138084632517,0.015990159901599015,0.03873744619799139,0.008333333333333333
H5,0.10334977927810958,0.07052161976664378,0.11189801699716714,0.06354359925788497,0.06598890942698706,0.09325502758497953,0.041762159409218236,0.17367527814444653,0.031478102189781025,0.14848675914249684,0.0513679508654383,0.038106579339089015,0.06655395019981555,0.10948741007194245,0.05534616147589764,0.08223258223258223,0.09512485136741974,0.014551217403832301,0.07880833577927795,0.11278978900755406,0.06361085126286249,0.1127129750982962,0.04242781378903948,0.11383168477379602,0.034555926038193394,0.09572562068082928,0.05056366047745358,0.09118023008095441,0.08069755513763037,0.01570915619389587,0.10120040013337779,0.029296591733139955,0.12321391592462208,0.09385113268608414,0.039943938332165384,0.13609467455621302,0.0958904109589041,0.05984634047715325,0.1946916231972998,0.05178416013925152,0.15229280605805637,0.1405846092662557,0.14836937044558596,0.02871362940275651,0.12324431256181997,0.01743912018853103
A6,0.04225352112676056,0.028330781010719754,0.033051498847040735,0.031037093111279335,0.01533494753833737,0.024848891873740765,0.008028545941123996,0.022741629816803537,0.021196063588190765,0.04387186629526462,0.026147278548559232,0.009708737864077669,0.03450704225352113,0.03235082674335011,0.016093635698610095,0.03815869170199879,0.033608490566037735,0.00481637567730283,0.02878684030157642,0.052417006406523005,0.02197802197802198,0.055379746835443035,0.014606155451225874,0.04202157864849517,0.008896797153024912,0.03720663995420721,0.01667824878387769,0.036458333333333336,0.040214477211796246,0.004667444574095682,0.043507817811012914,0.007003501750875438,0.03345195729537367,0.046762589928057555,0.015741507870753936,0.052541404911479156,0.035236081747709654,0.01808066759388039,0.0544464609800363,0.016549968173138127,0.049206349206349205,0.04811715481171548,0.05947955390334572,0.011093502377179081,0.038435140700068635,0.00980898296334538
B6,0.028763183125599234,0.019987507807620236,0.018102372034956304,0.010618363522798251,0.017484868863483525,0.024975024975024976,0.012012012012012012,0.034864416159380185,0.003934426229508197,0.06312684365781711,0.022002694207453974,0.010026385224274407,0.032642812303829254,0.02989821882951654,0.022142429682824656,0.017784552845528455,0.038179916317991634,0.006214396685655101,0.030096536059057353,0.040459540459540456,0.01336432306798373,0.03695150115473441,0.01839926402943882,0.036127167630057806,0.008746355685131196,0.04648760330578512,0.015247776365946633,0.03390688259109312,0.038027332144979206,0.003015075376884422,0.032441661923733635,0.007452871547566856,0.02937420178799489,0.028885037550548817,0.007209805335255948,0.030912659470068694,0.03054755043227666,0.013947847180109158,0.03574975173783516,0.014269406392694063,0.03537414965986395,0.04027226318774816,0.05242114615726344,0.009478672985781991,0.030601092896174863,0.003585835948005379
C6,0.06589351607801792,0.0348993288590604,0.030539772727272728,0.018543956043956044,0.030855539971949508,0.039287906691221605,0.009181969949916527,0.02176696542893726,0.005376344086021506,0.03950777202072539,0.09307359307359307,0.04568527918781726,0.06261398176291794,0.046494992846924176,0.025930851063829786,0.04107244723331432,0.08398133748055987,0.00857449088960343,0.05352480417754569,0.08217716115261472,0.028701891715590344,0.07276402223345124,0.030832476875642344,0.06173558532323821,0.010398613518197574,0.0749063670411985,0.021052631578947368,0.06889352818371608,0.06666666666666667,0.009855072463768115,0.06309148264984227,0.018798955613577025,0.05308464849354376,0.06397952655150352,0.023577235772357725,0.06459189665296536,0.06627680311890838,0.03187250996015936,0.08243080625752106,0.0386977886977887,0.07939053728949479,0.06825938566552901,0.10723192019950124,0.025983667409057165,0.05822498586772187,0.011363636363636364
D6,0.029490616621983913,0.014428412874583796,0.016235718580877932,0.017146017699115043,0.013973268529769137,0.016615653694796676,0.008684034736138945,0.013546202225447508,0.004781829049611476,0.01942231075697211,0.04096477794793262,0.029633113828786452,0.029921259842519685,0.02046617396247868,0.011332973556395036,0.021216407355021217,0.03458711629917856,0.004782608695652174,0.020748987854251014,0.03346901854364541,0.010923535253227408,0.03192795742939009,0.010447137484329294,0.020572450805008944,0.005893909626719057,0.0293482952093224,0.007502679528403001,0.02882882882882883,0.027604166666666666,0.0022665457842248413,0.04012188928390046,0.0032653061224489797,0.025099828864803195,0.03338315894369706,0.004524886877828055,0.02445870088211708,0.029707955689828803,0.011879049676025918,0.0328515111695138,0.014733840304182509,0.034746760895170786,0.030142781597038603,0.04993958920660491,0.009025270758122744,0.022035676810073453,0.0045129748025573525
